id	en_sentence	ta_sentence	offense_label	en_pos	en_dep	ta_pos	ta_dep
226	Who asked you, got it?	யார் உன்னிடம் கேட்டார்கள்	disrespect_dismissive	INTJ AUX PRON PRON PRON	nsubj amod nsubj case punct	NOUN VERB PROPN	case obj amod
227	Please share the document	ஆவணத்தை பகிரவும்	non_offensive	AUX VERB ADV PART	case root nsubj punct	ADV VERB	det root
228	They are a problem for our society	அவர்கள் நமது சமூகத்திற்கு ஒரு பிரச்சினை	hate_speech	PRON AUX VERB ADV DET VERB INTJ	nsubj aux vocative case root punct root	PRON VERB PART ADV PROPN	obj obj case obj amod
229	Everyone knows you are useless	நீ பயனற்றவன் என்று அனைவரும் அறிவார்கள்	harassment_bullying	INTJ NOUN PRON AUX ADJ	nsubj vocative nsubj aux amod	PRON VERB ADV VERB VERB	nsubj root nsubj nsubj root
230	Stop being so rude	இவ்வளவு முறைகேடாக இருக்காதே	profanity	NOUN PRON VERB ADJ	det punct compound nsubj	ADP ADP ADV	obj case nsubj
231	This is a dumb move, got it?	இது முட்டாள்தனமான செயல்	profanity	DET AUX PRON ADJ ADJ ADJ PRON	det aux cop amod amod nsubj advmod	VERB DET ADJ	obj det amod
232	We can meet tomorrow	நாளை நாம் சந்திக்கலாம்	non_offensive	PRON ADJ VERB PROPN	nsubj compound root vocative	DET VERB VERB	case nsubj root
233	Keep them away from us	அவர்களை எங்களிடமிருந்து விலக்கி வையுங்கள்	hate_speech	VERB PART PROPN AUX PRON	root compound compound amod amod	ADV VERB ADP NOUN	advmod root compound det
234	What a silly comment	எவ்வளவு பேதையான கருத்து	profanity	INTJ ADV NOUN ADP	case case det compound	ADJ ADP VERB	det compound root
235	You always mess things up	நீ எப்போதும் விஷயங்களை கெடுப்பாய்	harassment_bullying	PRON ADV DET ADP PRON	nsubj advmod compound amod amod	PRON VERB PART NOUN	obj root nsubj compound
236	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	DET ADP AUX PRON	punct punct aux punct	PRON VERB DET VERB	nsubj root case root
237	You are irrelevant here	இங்கே நீ பொருத்தமற்றவன்	disrespect_dismissive	PRON AUX ADJ ADV	nsubj aux amod advmod	ADV PRON VERB	det nsubj root
238	We can meet tomorrow	நாளை நாம் சந்திக்கலாம்	non_offensive	PRON VERB VERB ADP	nsubj compound root obj	ADP VERB VERB	obj obj root
239	We can meet tomorrow	நாளை நாம் சந்திக்கலாம்	non_offensive	PRON VERB VERB INTJ	nsubj cop root nsubj	ADP VERB VERB	obj obj root
240	Fantastic job, totally flawless	அற்புத வேலை, முற்றிலும் குறையின்றி	sarcasm	ADJ ADV NOUN PRON	amod vocative punct vocative	NOUN VERB VERB DET	compound nsubj obj compound
241	Sure, that will definitely work	ஆமாம், அது கண்டிப்பாக வேலை செய்யும்	sarcasm	PRON DET AUX PROPN ADJ	cop det aux amod cop	VERB VERB NOUN VERB VERB	nsubj root amod root root
242	Sure, that will definitely work	ஆமாம், அது கண்டிப்பாக வேலை செய்யும்	sarcasm	INTJ DET AUX INTJ DET	vocative det aux vocative advmod	VERB VERB NOUN VERB VERB	obj root advmod obj root
243	People like them ruin everything	அவர்களைப் போன்றவர்கள் அனைத்தையும் கெடுப்பார்கள்	hate_speech	PROPN VERB ADP VERB DET	advmod root advmod root root	PART PART VERB PART	case obj root nsubj
244	What a silly comment	எவ்வளவு பேதையான கருத்து	profanity	PRON ADP VERB DET	obj nsubj cop case	ADJ DET VERB	compound det root
245	Shut up, idiot	வாயை மூடு, முட்டாள்	profanity	NOUN ADJ PROPN	root root nsubj	NOUN ADP ADJ	obj advmod nsubj
246	You will regret this	இதற்காக நீ வருந்துவாய்	threat	PRON AUX VERB DET	nsubj aux root det	NOUN PRON ADJ	det nsubj amod
247	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	VERB VERB AUX DET	obj compound aux det	PRON VERB PART VERB	nsubj obj case root
248	Keep them away from us	அவர்களை எங்களிடமிருந்து விலக்கி வையுங்கள்	hate_speech	VERB PRON ADV DET DET	root cop nsubj punct amod	PART VERB ADJ DET	amod nsubj obj compound
249	We will make you pay	நாங்கள் உன்னால் கட்டவைக்கிறோம்	threat	PRON AUX VERB PRON VERB	nsubj aux root nsubj root	PRON ADV VERB	obj amod root
250	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET DET	nsubj root det advmod	PROPN VERB PART VERB	amod root nsubj root
251	We will make you pay	நாங்கள் உன்னால் கட்டவைக்கிறோம்	threat	PRON AUX VERB PRON VERB	nsubj aux root nsubj root	PRON ADJ VERB	obj compound root
252	This is a dumb move, got it?	இது முட்டாள்தனமான செயல்	profanity	DET AUX PROPN ADJ VERB PRON INTJ	det aux obj amod vocative det punct	VERB ADJ PART	obj amod advmod
253	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	VERB ADP AUX AUX	advmod punct aux compound	PRON VERB DET VERB	obj root det root
254	Oh great, another brilliant plan 🙄	அப்பு அருமை, இன்னொரு பிரமாதமான திட்டம்	sarcasm	INTJ ADJ ADV ADJ PART INTJ	amod amod advmod amod compound nsubj	NOUN ADP PROPN ADJ VERB	advmod obj advmod case root
255	Stop being so rude	இவ்வளவு முறைகேடாக இருக்காதே	profanity	DET ADV ADP PROPN	cop case vocative root	PROPN ADJ PART	case obj det
256	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET AUX	nsubj root det punct	ADP VERB ADP VERB	case obj nsubj root
257	You are stupid	நீ முட்டாள்	profanity	PRON AUX ADJ	nsubj aux amod	PRON PART	obj advmod
258	You never learn, do you	நீ ஒருபோதும் கற்றுக்கொள்வதில்லை, இல்லையா	harassment_bullying	PRON ADV VERB PART PRON	nsubj advmod root cop nsubj	PRON VERB PART PROPN	nsubj root obj nsubj
259	Please share the document	ஆவணத்தை பகிரவும்	non_offensive	ADV VERB ADV INTJ	obj root vocative advmod	DET VERB	det root
260	What a genius you are	நீ எவ்வளவு பெரிய புத்திசாலி	sarcasm	ADJ ADJ DET PRON AUX	case vocative case nsubj aux	PRON NOUN DET ADV	nsubj advmod compound advmod
261	Lovely, exactly what we needed 🙄	சூப்பர், நமக்குத் தேவைப்பட்டதே	sarcasm	ADJ ADV ADV PRON ADV NOUN	amod advmod punct nsubj vocative amod	NOUN PART DET	advmod det compound
262	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	NOUN PRON AUX ADP	obj det aux obj	PRON VERB ADJ VERB	nsubj obj det root
263	What a silly comment, got it?	எவ்வளவு பேதையான கருத்து	profanity	ADJ DET PRON VERB VERB VERB	advmod cop nsubj case root root	NOUN ADP VERB	case nsubj root
264	Those people do not belong here	அந்த மக்களுக்கு இங்கு இடம் இல்லை	hate_speech	DET PRON PRON VERB VERB ADV	det amod advmod det root advmod	PROPN NOUN NOUN VERB DET	nsubj det case obj advmod
265	Who asked you	யார் உன்னிடம் கேட்டார்கள்	disrespect_dismissive	PART ADJ PRON	amod det nsubj	ADJ VERB NOUN	compound nsubj advmod
266	You are irrelevant here	இங்கே நீ பொருத்தமற்றவன்	disrespect_dismissive	PRON AUX ADJ ADV	nsubj aux amod advmod	PROPN PRON VERB	nsubj nsubj root
267	Have a nice day	நல்ல நாள் இருக்கட்டும்	non_offensive	VERB ADP VERB ADJ	compound advmod punct cop	ADV DET VERB	case compound root
268	What a genius you are	நீ எவ்வளவு பெரிய புத்திசாலி	sarcasm	VERB DET INTJ PRON AUX	cop case case nsubj aux	PRON ADJ NOUN ADJ	obj amod obj det
269	What a genius you are 🙄	நீ எவ்வளவு பெரிய புத்திசாலி	sarcasm	PROPN DET INTJ PRON AUX DET	det cop advmod nsubj aux advmod	PRON ADP ADV ADV	nsubj amod advmod det
270	Everyone knows you are useless	நீ பயனற்றவன் என்று அனைவரும் அறிவார்கள்	harassment_bullying	ADJ ADV PRON AUX ADJ	det punct nsubj aux amod	PRON VERB ADV VERB VERB	nsubj root det obj root
271	What a genius you are	நீ எவ்வளவு பெரிய புத்திசாலி	sarcasm	ADP PART NOUN PRON AUX	amod cop obj nsubj aux	PRON ADP ADJ ADV	obj advmod compound advmod
272	You never learn, do you	நீ ஒருபோதும் கற்றுக்கொள்வதில்லை, இல்லையா	harassment_bullying	PRON ADV VERB ADV PRON	nsubj advmod root case nsubj	PRON VERB NOUN NOUN	nsubj root advmod nsubj
273	This won't end well for you	இது உனக்குச் சரியாக முடிவதில்லை	threat	DET PART ADV ADP PART PRON	det advmod nsubj det advmod nsubj	VERB ADJ PART PROPN	obj amod compound case
274	Those people do not belong here	அந்த மக்களுக்கு இங்கு இடம் இல்லை	hate_speech	DET INTJ ADP VERB VERB ADV	det obj obj det root advmod	PART ADV PART VERB NOUN	obj amod amod obj compound
275	You are stupid	நீ முட்டாள்	profanity	PRON AUX ADJ	nsubj aux amod	PRON PART	nsubj det
276	You are a constant problem	நீ எப்போதும் ஒரு பிரச்சினை	harassment_bullying	PRON AUX PART VERB VERB	nsubj aux obj nsubj amod	PRON VERB ADJ ADJ	nsubj obj advmod det
277	Their group is the worst	அவர்களின் குழு மிகவும் மோசமானது	hate_speech	DET PRON AUX ADP ADJ	det case aux det amod	VERB ADJ VERB VERB	root nsubj obj root
278	Have a nice day	நல்ல நாள் இருக்கட்டும்	non_offensive	INTJ DET PRON PRON	cop case amod vocative	DET PART VERB	nsubj obj root
279	Their group is the worst	அவர்களின் குழு மிகவும் மோசமானது	hate_speech	DET AUX AUX DET ADJ	det vocative aux vocative amod	VERB DET VERB VERB	root compound nsubj root
280	Who asked you	யார் உன்னிடம் கேட்டார்கள்	disrespect_dismissive	PROPN INTJ PRON	cop obj nsubj	ADV VERB ADJ	obj obj nsubj
281	You are irrelevant here	இங்கே நீ பொருத்தமற்றவன்	disrespect_dismissive	PRON AUX ADJ ADV	nsubj aux amod advmod	ADV PRON VERB	case obj root
282	Stop being so rude	இவ்வளவு முறைகேடாக இருக்காதே	profanity	ADP ADV VERB PRON	vocative punct root compound	DET ADV PART	det nsubj nsubj
283	Everyone knows you are useless	நீ பயனற்றவன் என்று அனைவரும் அறிவார்கள்	harassment_bullying	ADV ADJ PRON AUX ADJ	obj root nsubj aux amod	PRON VERB ADP VERB VERB	nsubj nsubj compound nsubj root
284	Shut up, idiot	வாயை மூடு, முட்டாள்	profanity	AUX NOUN AUX	root cop det	ADV PROPN ADP	advmod nsubj compound
285	Stop being so rude, got it?	இவ்வளவு முறைகேடாக இருக்காதே	profanity	ADJ ADJ ADV NOUN ADV AUX	obj punct compound root cop obj	DET DET PROPN	amod nsubj det
286	What a genius you are 🙄	நீ எவ்வளவு பெரிய புத்திசாலி	sarcasm	PRON ADJ ADJ PRON AUX DET	nsubj amod det nsubj aux obj	PRON NOUN ADJ ADP	obj advmod advmod det
287	Shut up, idiot	வாயை மூடு, முட்டாள்	profanity	ADJ ADJ PROPN	compound det compound	ADV NOUN ADP	amod advmod nsubj
288	Stop being so rude, got it?	இவ்வளவு முறைகேடாக இருக்காதே	profanity	PRON ADJ NOUN PRON PROPN PRON	amod root cop case nsubj advmod	NOUN PART ADJ	advmod det nsubj
289	Stop being so rude	இவ்வளவு முறைகேடாக இருக்காதே	profanity	ADV ADJ DET INTJ	det compound root amod	DET PART PART	det compound det
290	You always mess things up	நீ எப்போதும் விஷயங்களை கெடுப்பாய்	harassment_bullying	PRON ADV ADP PROPN VERB	nsubj advmod nsubj case det	PRON VERB ADJ ADV	nsubj nsubj det obj
291	Nobody wants you here	இங்கே உன்னை யாரும் விரும்பவில்லை	harassment_bullying	DET ADV PRON ADV	nsubj cop nsubj advmod	ADP PRON VERB DET	advmod obj root case
292	You are stupid	நீ முட்டாள்	profanity	PRON AUX ADJ	nsubj aux amod	PRON DET	obj obj
293	You are stupid	நீ முட்டாள்	profanity	PRON AUX ADJ	nsubj aux amod	PRON ADJ	obj amod
294	Their group is the worst	அவர்களின் குழு மிகவும் மோசமானது	hate_speech	DET PART AUX DET ADJ	det compound aux root amod	VERB ADV VERB VERB	nsubj nsubj nsubj root
295	We don't need your input	உன் கருத்து எங்களுக்கு தேவையில்லை	disrespect_dismissive	PRON INTJ VERB PROPN INTJ	nsubj case root advmod amod	VERB VERB NOUN NOUN	obj nsubj obj obj
296	Your opinion doesn't matter, got it?	உன் கருத்துக்கு அர்த்தமில்லை	disrespect_dismissive	NOUN ADP PART PROPN VERB ADP	amod obj amod case advmod amod	VERB PART ADP	nsubj case amod
297	You will regret this	இதற்காக நீ வருந்துவாய்	threat	PRON AUX VERB DET	nsubj aux root det	ADJ PRON NOUN	case nsubj case
298	You never learn, do you	நீ ஒருபோதும் கற்றுக்கொள்வதில்லை, இல்லையா	harassment_bullying	PRON ADV VERB PRON PRON	nsubj advmod root nsubj nsubj	PRON VERB PART PROPN	obj root case advmod
299	Have a nice day	நல்ல நாள் இருக்கட்டும்	non_offensive	INTJ DET PRON NOUN	advmod advmod vocative det	ADP PROPN VERB	case advmod root
300	Shut up, idiot	வாயை மூடு, முட்டாள்	profanity	NOUN PRON AUX	root det cop	ADJ DET ADP	obj compound det
301	Your opinion doesn't matter	உன் கருத்துக்கு அர்த்தமில்லை	disrespect_dismissive	ADJ VERB NOUN INTJ	punct advmod advmod obj	VERB ADP PROPN	obj nsubj case
302	People like them ruin everything	அவர்களைப் போன்றவர்கள் அனைத்தையும் கெடுப்பார்கள்	hate_speech	PART VERB PRON VERB PROPN	case root punct root punct	ADP PROPN VERB ADV	obj compound nsubj amod
303	Please share the document	ஆவணத்தை பகிரவும்	non_offensive	PRON VERB AUX INTJ	punct root case det	ADP VERB	nsubj root
304	They are a problem for our society	அவர்கள் நமது சமூகத்திற்கு ஒரு பிரச்சினை	hate_speech	PRON AUX NOUN PROPN DET NOUN ADP	nsubj aux obj amod obj punct det	PRON VERB ADV ADP PART	obj root det obj det
305	This is a dumb move	இது முட்டாள்தனமான செயல்	profanity	DET AUX ADJ ADJ PART	det aux advmod amod compound	VERB ADV PART	nsubj case amod
306	Please share the document	ஆவணத்தை பகிரவும்	non_offensive	PROPN VERB ADJ PRON	root root det advmod	ADJ VERB	obj root
307	This won't end well for you	இது உனக்குச் சரியாக முடிவதில்லை	threat	DET PROPN PROPN VERB ADV PRON	det case case det compound nsubj	VERB NOUN DET NOUN	obj advmod compound case
308	Fantastic job, totally flawless 🙄	அற்புத வேலை, முற்றிலும் குறையின்றி	sarcasm	ADJ DET INTJ AUX ADV	amod advmod compound amod obj	PART VERB VERB NOUN	det root obj det
309	Who asked you	யார் உன்னிடம் கேட்டார்கள்	disrespect_dismissive	VERB PART PRON	nsubj case nsubj	DET VERB ADP	nsubj obj amod
310	Have a nice day	நல்ல நாள் இருக்கட்டும்	non_offensive	ADV DET PROPN DET	root advmod root compound	PART ADV VERB	compound compound root
311	Please share the document	ஆவணத்தை பகிரவும்	non_offensive	AUX VERB NOUN PROPN	nsubj root obj case	NOUN VERB	advmod root
312	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET ADJ	nsubj root det amod	ADJ VERB NOUN VERB	nsubj root obj root
313	Everyone knows you are useless	நீ பயனற்றவன் என்று அனைவரும் அறிவார்கள்	harassment_bullying	ADV AUX PRON AUX ADJ	amod compound nsubj aux amod	PRON VERB DET VERB VERB	obj root nsubj obj root
314	Lovely, exactly what we needed 🙄	சூப்பர், நமக்குத் தேவைப்பட்டதே	sarcasm	ADJ ADV INTJ PRON AUX VERB	amod advmod cop nsubj amod compound	DET ADJ DET	nsubj det nsubj
315	Everyone knows you are useless	நீ பயனற்றவன் என்று அனைவரும் அறிவார்கள்	harassment_bullying	ADV ADV PRON AUX ADJ	obj nsubj nsubj aux amod	PRON VERB ADJ VERB VERB	nsubj obj det nsubj root
316	Please share the document	ஆவணத்தை பகிரவும்	non_offensive	ADJ VERB NOUN PROPN	case root cop det	PROPN VERB	compound root
317	Have a nice day	நல்ல நாள் இருக்கட்டும்	non_offensive	VERB AUX NOUN ADJ	case cop case cop	PART PART VERB	nsubj case root
318	You are stupid, got it?	நீ முட்டாள்	profanity	PRON AUX ADJ PART AUX	nsubj aux amod det root	PRON ADP	nsubj advmod
319	Who asked you	யார் உன்னிடம் கேட்டார்கள்	disrespect_dismissive	ADV PART PRON	punct det nsubj	NOUN VERB ADJ	case root amod
320	Have a nice day	நல்ல நாள் இருக்கட்டும்	non_offensive	PROPN PROPN PART DET	root amod root case	PART ADP VERB	nsubj compound root
321	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	AUX ADV AUX PRON	advmod cop aux case	PRON VERB DET VERB	obj obj obj root
322	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	AUX ADJ AUX ADP	amod punct aux obj	PRON VERB PART VERB	nsubj nsubj det root
323	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	AUX DET AUX ADP	obj case aux case	PRON VERB PART VERB	nsubj root det root
324	Shut up, idiot	வாயை மூடு, முட்டாள்	profanity	ADP INTJ NOUN	obj det root	NOUN NOUN NOUN	compound det compound
325	Shut up, idiot	வாயை மூடு, முட்டாள்	profanity	INTJ INTJ PRON	punct compound nsubj	ADJ DET PROPN	amod nsubj case
326	We don't need your input, got it?	உன் கருத்து எங்களுக்கு தேவையில்லை	disrespect_dismissive	PRON ADV VERB ADP PART AUX DET	nsubj det root cop cop nsubj nsubj	VERB VERB ADJ NOUN	root obj case amod
327	Those people do not belong here	அந்த மக்களுக்கு இங்கு இடம் இல்லை	hate_speech	DET ADP PROPN ADJ VERB ADV	det amod compound amod root advmod	PROPN ADV PROPN VERB ADJ	obj case compound nsubj det
328	What a silly comment	எவ்வளவு பேதையான கருத்து	profanity	ADJ PRON PROPN AUX	obj punct cop obj	NOUN PROPN VERB	obj case root
329	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	INTJ PROPN AUX AUX	root punct aux punct	PRON VERB PART VERB	nsubj nsubj amod root
330	Have a nice day	நல்ல நாள் இருக்கட்டும்	non_offensive	VERB INTJ AUX NOUN	cop nsubj advmod det	ADJ PROPN VERB	compound det root
331	Have a nice day	நல்ல நாள் இருக்கட்டும்	non_offensive	ADP AUX NOUN PART	punct amod punct amod	NOUN NOUN VERB	amod det root
332	Stop being so rude	இவ்வளவு முறைகேடாக இருக்காதே	profanity	AUX ADJ PRON INTJ	vocative cop cop obj	ADJ ADP PART	det obj case
333	Lovely, exactly what we needed	சூப்பர், நமக்குத் தேவைப்பட்டதே	sarcasm	ADJ ADV ADP PRON ADP	amod advmod case nsubj compound	ADJ ADP PART	amod nsubj amod
334	Lovely, exactly what we needed	சூப்பர், நமக்குத் தேவைப்பட்டதே	sarcasm	ADJ ADV DET PRON ADP	amod advmod case nsubj root	ADV PART PART	obj advmod amod
335	Sure, that will definitely work	ஆமாம், அது கண்டிப்பாக வேலை செய்யும்	sarcasm	PROPN DET AUX DET PROPN	cop det aux case vocative	VERB VERB ADV VERB VERB	nsubj nsubj case nsubj root
336	Have a nice day	நல்ல நாள் இருக்கட்டும்	non_offensive	PART DET PROPN ADJ	root compound advmod root	NOUN ADJ VERB	obj compound root
337	You will regret this	இதற்காக நீ வருந்துவாய்	threat	PRON AUX VERB DET	nsubj aux root det	ADP PRON NOUN	compound obj det
338	You are irrelevant here	இங்கே நீ பொருத்தமற்றவன்	disrespect_dismissive	PRON AUX ADJ ADV	nsubj aux amod advmod	PROPN PRON VERB	amod obj root
339	You are stupid	நீ முட்டாள்	profanity	PRON AUX ADJ	nsubj aux amod	PRON PROPN	nsubj det
340	They are a problem for our society	அவர்கள் நமது சமூகத்திற்கு ஒரு பிரச்சினை	hate_speech	PRON AUX ADV ADP PRON AUX ADV	nsubj aux compound punct vocative case amod	PRON VERB DET ADJ ADJ	obj root obj advmod advmod
341	This is a dumb move	இது முட்டாள்தனமான செயல்	profanity	DET AUX VERB ADJ PROPN	det aux cop amod vocative	VERB ADP ADV	nsubj amod amod
342	Stop being so rude	இவ்வளவு முறைகேடாக இருக்காதே	profanity	PROPN DET DET DET	amod case det punct	ADJ PART PART	det advmod obj
343	Who asked you	யார் உன்னிடம் கேட்டார்கள்	disrespect_dismissive	PRON PRON PRON	amod root nsubj	DET VERB NOUN	nsubj obj obj
344	You are stupid	நீ முட்டாள்	profanity	PRON AUX ADJ	nsubj aux amod	PRON PART	nsubj nsubj
345	We don't need your input	உன் கருத்து எங்களுக்கு தேவையில்லை	disrespect_dismissive	PRON NOUN VERB DET AUX	nsubj det root case cop	VERB VERB PROPN DET	root obj compound amod
346	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET ADP	nsubj root det det	ADP VERB NOUN VERB	nsubj root case root
347	Stay out of this	இதிலிருந்து விலகி இரு	disrespect_dismissive	PART AUX INTJ DET	case compound root det	VERB NOUN ADP	obj case nsubj
348	You always mess things up	நீ எப்போதும் விஷயங்களை கெடுப்பாய்	harassment_bullying	PRON ADV ADJ PART VERB	nsubj advmod punct advmod case	PRON VERB ADP ADJ	nsubj obj det case
349	Watch your step	உன் நடையை கவனமாக வைத்துக்கோ	threat	VERB NOUN NOUN	root root compound	VERB ADJ PART ADV	root det amod nsubj
350	You are irrelevant here	இங்கே நீ பொருத்தமற்றவன்	disrespect_dismissive	PRON AUX ADJ ADV	nsubj aux amod advmod	ADV PRON VERB	compound nsubj root
351	Stop being so rude	இவ்வளவு முறைகேடாக இருக்காதே	profanity	ADV ADV ADP DET	det obj advmod cop	PROPN NOUN DET	amod compound amod
352	Those people do not belong here	அந்த மக்களுக்கு இங்கு இடம் இல்லை	hate_speech	DET PRON ADV ADP VERB ADV	det cop punct det root advmod	ADP PART PART VERB PART	case advmod compound obj case
353	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	PROPN NOUN AUX VERB	case advmod aux punct	PRON VERB ADJ VERB	nsubj obj compound root
354	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET PRON	nsubj root det case	ADP VERB PART VERB	obj root compound root
355	Stop being so rude	இவ்வளவு முறைகேடாக இருக்காதே	profanity	AUX ADP PROPN VERB	case nsubj punct compound	PART ADJ PROPN	obj nsubj obj
356	Have a nice day	நல்ல நாள் இருக்கட்டும்	non_offensive	PROPN PART PART ADV	vocative det compound cop	NOUN PROPN VERB	compound compound root
357	You are a constant problem	நீ எப்போதும் ஒரு பிரச்சினை	harassment_bullying	PRON AUX ADJ INTJ VERB	nsubj aux cop punct compound	PRON VERB ADV ADJ	obj nsubj advmod obj
358	You are stupid	நீ முட்டாள்	profanity	PRON AUX ADJ	nsubj aux amod	PRON NOUN	obj advmod
359	People like them ruin everything	அவர்களைப் போன்றவர்கள் அனைத்தையும் கெடுப்பார்கள்	hate_speech	DET VERB INTJ VERB ADP	case root case root vocative	ADV ADJ VERB DET	amod compound obj obj
360	Their group is the worst	அவர்களின் குழு மிகவும் மோசமானது	hate_speech	DET INTJ AUX ADP ADJ	det case aux root amod	VERB NOUN VERB VERB	root compound nsubj root
361	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET ADV	nsubj root det vocative	ADP VERB PROPN VERB	det nsubj obj root
362	Your opinion doesn't matter	உன் கருத்துக்கு அர்த்தமில்லை	disrespect_dismissive	ADJ INTJ PART PRON	vocative root amod punct	VERB PART ADP	nsubj case det
363	Stop being so rude	இவ்வளவு முறைகேடாக இருக்காதே	profanity	VERB ADJ NOUN ADV	compound compound punct vocative	DET ADV ADJ	nsubj advmod obj
364	You are a constant problem	நீ எப்போதும் ஒரு பிரச்சினை	harassment_bullying	PRON AUX ADJ PART PART	nsubj aux punct cop nsubj	PRON VERB PART ADJ	obj nsubj advmod case
365	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET DET	nsubj root det root	PART VERB ADV VERB	amod nsubj amod root
366	Fantastic job, totally flawless	அற்புத வேலை, முற்றிலும் குறையின்றி	sarcasm	ADJ DET DET NOUN	amod vocative root obj	ADJ VERB VERB DET	amod obj obj obj
367	This is a dumb move, got it?	இது முட்டாள்தனமான செயல்	profanity	DET AUX ADJ ADJ ADJ DET NOUN	det aux advmod amod root cop case	VERB DET DET	obj advmod obj
368	People like them ruin everything	அவர்களைப் போன்றவர்கள் அனைத்தையும் கெடுப்பார்கள்	hate_speech	ADV VERB PART VERB DET	nsubj root obj root nsubj	DET PROPN VERB NOUN	case nsubj nsubj obj
369	Stay out of this	இதிலிருந்து விலகி இரு	disrespect_dismissive	PART ADJ ADJ DET	cop compound advmod det	VERB ADV NOUN	obj obj det
370	I will deal with you tonight	இன்றிரவு உன்னுடன் பார்க்கிறேன்	threat	PRON AUX VERB INTJ PRON ADV	nsubj aux root obj nsubj advmod	PART VERB VERB	nsubj nsubj root
371	Please share the document	ஆவணத்தை பகிரவும்	non_offensive	ADV VERB INTJ VERB	nsubj root compound vocative	NOUN VERB	case root
372	What a silly comment	எவ்வளவு பேதையான கருத்து	profanity	ADP ADP ADV PRON	compound amod amod nsubj	DET PROPN VERB	obj nsubj root
373	Lovely, exactly what we needed	சூப்பர், நமக்குத் தேவைப்பட்டதே	sarcasm	ADJ ADV ADJ PRON ADP	amod advmod det nsubj root	ADP PART DET	amod obj nsubj
374	Your work is excellent	உங்கள் வேலை சிறப்பாக உள்ளது	non_offensive	ADJ NOUN AUX PART	punct det aux advmod	PRON VERB PROPN VERB	obj root amod root
375	They are a problem for our society	அவர்கள் நமது சமூகத்திற்கு ஒரு பிரச்சினை	hate_speech	PRON AUX PRON ADJ PRON INTJ PROPN	nsubj aux det compound compound obj det	PRON VERB ADP DET ADP	obj root amod case obj
376	Nobody wants you here	இங்கே உன்னை யாரும் விரும்பவில்லை	harassment_bullying	AUX VERB PRON ADV	punct case nsubj advmod	PROPN PRON VERB PART	det obj nsubj compound
377	Keep them away from us	அவர்களை எங்களிடமிருந்து விலக்கி வையுங்கள்	hate_speech	VERB PART ADJ VERB ADP	root root compound obj punct	ADP VERB ADP PROPN	advmod root nsubj det
378	Listen, We will make you pay	நாங்கள் உன்னால் கட்டவைக்கிறோம்	threat	AUX PRON AUX VERB PRON VERB	case nsubj aux root nsubj root	PRON PROPN VERB	nsubj det root
379	Watch your step	உன் நடையை கவனமாக வைத்துக்கோ	threat	VERB VERB VERB	root compound case	VERB ADJ ADV ADJ	root advmod advmod compound
380	I like this idea	இந்த எண்ணம் எனக்கு பிடிக்கும்	non_offensive	PRON VERB DET INTJ	nsubj root det det	DET VERB ADP VERB	obj root det root
381	This is a dumb move	இது முட்டாள்தனமான செயல்	profanity	DET AUX INTJ ADJ PRON	det aux punct amod obj	VERB ADP ADJ	root amod nsubj
382	This won't end well for you	இது உனக்குச் சரியாக முடிவதில்லை	threat	DET PROPN INTJ DET NOUN PRON	det obj nsubj det vocative nsubj	VERB ADP ADV PROPN	nsubj obj nsubj compound
383	Nobody wants you here	இங்கே உன்னை யாரும் விரும்பவில்லை	harassment_bullying	PRON ADV PRON ADV	root nsubj nsubj advmod	ADP PRON VERB ADJ	obj obj nsubj compound
384	Shut up, idiot	வாயை மூடு, முட்டாள்	profanity	NOUN NOUN INTJ	punct punct punct	PROPN PROPN PART	compound advmod advmod
385	You are irrelevant here, got it?	இங்கே நீ பொருத்தமற்றவன்	disrespect_dismissive	PRON AUX ADJ ADV ADV PART	nsubj aux amod advmod punct root	ADV PRON VERB	advmod obj root
386	You never learn, do you	நீ ஒருபோதும் கற்றுக்கொள்வதில்லை, இல்லையா	harassment_bullying	PRON ADV VERB INTJ PRON	nsubj advmod root compound nsubj	PRON VERB ADP DET	nsubj root case obj
